Consulta estado de cuenta del contrato:|24472|Usuario:|ebarron|Fecha y hora:|14/04/2021 9:01:18|Equipo|:192.168.16.2
Consulta estado de cuenta del contrato:|27992|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 9:04:19|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|14106|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 10:07:22|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|16291|Usuario:|cmercado|Fecha y hora:|14/04/2021 10:13:33|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|9926659|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 10:18:51|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|22508|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 10:29:54|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|22509|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 10:34:34|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|22581|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 10:35:21|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|22509|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 10:35:43|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|22581|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 10:37:20|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|22509|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 10:37:30|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|22581|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 10:44:36|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|10734|Usuario:|nburgos|Fecha y hora:|14/04/2021 10:45:16|Equipo|:192.168.13.3
Imprime estado de cuenta del contrato:|10734|Usuario:|nburgos|Fecha y hora:|14/04/2021 10:45:46|Equipo|:192.168.13.3
Consulta estado de cuenta del contrato:|11463|Usuario:|nburgos|Fecha y hora:|14/04/2021 10:47:45|Equipo|:192.168.13.3
Consulta estado de cuenta del contrato:|22509|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 10:47:48|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|18071|Usuario:|cmercado|Fecha y hora:|14/04/2021 10:52:24|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|9927107|Usuario:|fnina|Fecha y hora:|14/04/2021 10:58:07|Equipo|:192.168.12.5
Imprime estado de cuenta del contrato:|9927107|Usuario:|fnina|Fecha y hora:|14/04/2021 10:58:18|Equipo|:192.168.12.5
Consulta estado de cuenta del contrato:|24491|Usuario:|cmercado|Fecha y hora:|14/04/2021 11:01:38|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|288|Usuario:|tarenales|Fecha y hora:|14/04/2021 11:04:47|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|288|Usuario:|tarenales|Fecha y hora:|14/04/2021 11:07:10|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|284|Usuario:|tarenales|Fecha y hora:|14/04/2021 11:08:16|Equipo|:192.168.13.30
Imprime estado de cuenta del contrato:|284|Usuario:|tarenales|Fecha y hora:|14/04/2021 11:08:27|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|560|Usuario:|tarenales|Fecha y hora:|14/04/2021 11:10:15|Equipo|:192.168.13.30
Imprime estado de cuenta del contrato:|560|Usuario:|tarenales|Fecha y hora:|14/04/2021 11:10:40|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|9736|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 11:15:28|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|20138|Usuario:|cmercado|Fecha y hora:|14/04/2021 11:20:35|Equipo|:192.168.14.28
