Consulta estado de cuenta del contrato:|10387|Usuario:|jhuanca|Fecha y hora:|18/02/2022 9:02:32|Equipo|:192.168.18.8
Consulta estado de cuenta del contrato:|12101|Usuario:|cmercado|Fecha y hora:|18/02/2022 9:03:17|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|24145|Usuario:|alciraes|Fecha y hora:|18/02/2022 9:17:55|Equipo|:192.168.13.3
Consulta estado de cuenta del contrato:|17673|Usuario:|alciraes|Fecha y hora:|18/02/2022 9:24:48|Equipo|:192.168.13.3
Consulta estado de cuenta del contrato:|14980|Usuario:|scastro|Fecha y hora:|18/02/2022 9:25:42|Equipo|:192.168.14.4
Imprime estado de cuenta del contrato:|14980|Usuario:|scastro|Fecha y hora:|18/02/2022 9:26:00|Equipo|:192.168.14.4
Consulta estado de cuenta del contrato:|17674|Usuario:|alciraes|Fecha y hora:|18/02/2022 9:28:37|Equipo|:192.168.13.3
Consulta estado de cuenta del contrato:|28949|Usuario:|cmercado|Fecha y hora:|18/02/2022 9:35:54|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|4770|Usuario:|alciraes|Fecha y hora:|18/02/2022 9:36:22|Equipo|:192.168.13.3
Consulta estado de cuenta del contrato:|28590|Usuario:|cmercado|Fecha y hora:|18/02/2022 9:50:25|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|10573|Usuario:|acuba|Fecha y hora:|18/02/2022 10:13:56|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|26410|Usuario:|scastro|Fecha y hora:|18/02/2022 10:19:36|Equipo|:192.168.14.4
Consulta estado de cuenta del contrato:|26410|Usuario:|scastro|Fecha y hora:|18/02/2022 10:19:50|Equipo|:192.168.14.4
Imprime estado de cuenta del contrato:|26410|Usuario:|scastro|Fecha y hora:|18/02/2022 10:20:09|Equipo|:192.168.14.4
Consulta estado de cuenta del contrato:|23229|Usuario:|cmercado|Fecha y hora:|18/02/2022 10:55:51|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|28976|Usuario:|acuba|Fecha y hora:|18/02/2022 11:05:34|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|28098|Usuario:|cmercado|Fecha y hora:|18/02/2022 11:06:19|Equipo|:192.168.14.8
Imprime estado de cuenta del contrato:|28098|Usuario:|cmercado|Fecha y hora:|18/02/2022 11:06:36|Equipo|:192.168.14.8
Consulta estado de cuenta del contrato:|24214|Usuario:|dmamani|Fecha y hora:|18/02/2022 11:07:55|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|8401|Usuario:|cmercado|Fecha y hora:|18/02/2022 11:30:38|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:||Usuario:|mtejerina|Fecha y hora:|18/02/2022 11:35:05|Equipo|:192.168.14.5
Consulta estado de cuenta del contrato:||Usuario:|mtejerina|Fecha y hora:|18/02/2022 11:41:09|Equipo|:192.168.14.5
Consulta estado de cuenta del contrato:|21864|Usuario:|mtejerina|Fecha y hora:|18/02/2022 11:42:23|Equipo|:192.168.14.5
Imprime estado de cuenta del contrato:|21864|Usuario:|mtejerina|Fecha y hora:|18/02/2022 11:42:50|Equipo|:192.168.14.5
Consulta estado de cuenta del contrato:|9997|Usuario:|cmercado|Fecha y hora:|18/02/2022 12:00:13|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|28655|Usuario:|cmercado|Fecha y hora:|18/02/2022 12:01:54|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|28655|Usuario:|cmercado|Fecha y hora:|18/02/2022 12:02:07|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|12660|Usuario:|scastro|Fecha y hora:|18/02/2022 12:04:40|Equipo|:192.168.14.4
Imprime estado de cuenta del contrato:|12660|Usuario:|scastro|Fecha y hora:|18/02/2022 12:04:57|Equipo|:192.168.14.4
Consulta estado de cuenta del contrato:|20231|Usuario:|dmamani|Fecha y hora:|18/02/2022 12:23:41|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|11339|Usuario:|cmercado|Fecha y hora:|18/02/2022 12:25:03|Equipo|:192.168.14.28
