Consulta estado de cuenta del contrato:|25993|Usuario:|nburgos|Fecha y hora:|06/10/2021 9:18:11|Equipo|:192.168.13.3
Consulta estado de cuenta del contrato:|25993|Usuario:|ebarron|Fecha y hora:|06/10/2021 9:19:54|Equipo|:192.168.16.2
Imprime estado de cuenta del contrato:|25993|Usuario:|ebarron|Fecha y hora:|06/10/2021 9:20:02|Equipo|:192.168.16.2
Consulta estado de cuenta del contrato:|18598|Usuario:|SMAMANI|Fecha y hora:|06/10/2021 9:35:26|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|9282|Usuario:|hhuanca|Fecha y hora:|06/10/2021 9:44:33|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|26358|Usuario:|cmercado|Fecha y hora:|06/10/2021 9:45:30|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|16461|Usuario:|cmercado|Fecha y hora:|06/10/2021 9:52:03|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|25955|Usuario:|hhuanca|Fecha y hora:|06/10/2021 9:56:33|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|17450|Usuario:|SMAMANI|Fecha y hora:|06/10/2021 10:08:55|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|28016|Usuario:|hhuanca|Fecha y hora:|06/10/2021 10:09:52|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|16164|Usuario:|hhuanca|Fecha y hora:|06/10/2021 10:13:04|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|12888|Usuario:|hhuanca|Fecha y hora:|06/10/2021 10:38:16|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|19689|Usuario:|hhuanca|Fecha y hora:|06/10/2021 10:38:58|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|15535|Usuario:|hhuanca|Fecha y hora:|06/10/2021 10:48:38|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|17240|Usuario:|ebarron|Fecha y hora:|06/10/2021 10:51:15|Equipo|:192.168.16.2
Imprime estado de cuenta del contrato:|17240|Usuario:|ebarron|Fecha y hora:|06/10/2021 10:51:26|Equipo|:192.168.16.2
Consulta estado de cuenta del contrato:|21241|Usuario:|hhuanca|Fecha y hora:|06/10/2021 10:51:45|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|17410|Usuario:|ebarron|Fecha y hora:|06/10/2021 10:51:59|Equipo|:192.168.16.2
Imprime estado de cuenta del contrato:|17410|Usuario:|ebarron|Fecha y hora:|06/10/2021 10:52:11|Equipo|:192.168.16.2
Consulta estado de cuenta del contrato:|5595|Usuario:|hhuanca|Fecha y hora:|06/10/2021 10:59:26|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|2061|Usuario:|hhuanca|Fecha y hora:|06/10/2021 11:04:00|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|13041|Usuario:|cmercado|Fecha y hora:|06/10/2021 11:16:10|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|18031|Usuario:|cmercado|Fecha y hora:|06/10/2021 11:29:51|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|17322|Usuario:|hhuanca|Fecha y hora:|06/10/2021 11:56:01|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|2174|Usuario:|nballivian|Fecha y hora:|06/10/2021 11:57:51|Equipo|:192.168.14.6
Consulta estado de cuenta del contrato:|2174|Usuario:|nballivian|Fecha y hora:|06/10/2021 11:58:02|Equipo|:192.168.14.6
Consulta estado de cuenta del contrato:|26385|Usuario:|hhuanca|Fecha y hora:|06/10/2021 12:03:18|Equipo|:192.168.14.2
Imprime estado de cuenta del contrato:|2174|Usuario:|nballivian|Fecha y hora:|06/10/2021 12:06:27|Equipo|:192.168.14.6
Consulta estado de cuenta del contrato:|7670|Usuario:|cmercado|Fecha y hora:|06/10/2021 12:10:15|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|7671|Usuario:|cmercado|Fecha y hora:|06/10/2021 12:11:49|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|11616|Usuario:|hhuanca|Fecha y hora:|06/10/2021 12:20:28|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|14976|Usuario:|hhuanca|Fecha y hora:|06/10/2021 12:24:24|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:||Usuario:|SMAMANI|Fecha y hora:|06/10/2021 12:24:45|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|12122|Usuario:|SMAMANI|Fecha y hora:|06/10/2021 12:41:37|Equipo|:192.168.14.3
