Consulta estado de cuenta del contrato:|27704|Usuario:|fnina|Fecha y hora:|08/02/2021 8:16:54|Equipo|:192.168.12.5
Consulta estado de cuenta del contrato:|27785|Usuario:|evaldez|Fecha y hora:|08/02/2021 8:20:24|Equipo|:192.168.16.6
Consulta estado de cuenta del contrato:|26864|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 8:23:19|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|27225|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 8:39:15|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|25530|Usuario:|nburgos|Fecha y hora:|08/02/2021 8:42:08|Equipo|:192.168.13.3
Imprime estado de cuenta del contrato:|25530|Usuario:|nburgos|Fecha y hora:|08/02/2021 8:42:20|Equipo|:192.168.13.3
Consulta estado de cuenta del contrato:|23704|Usuario:|nburgos|Fecha y hora:|08/02/2021 8:43:30|Equipo|:192.168.13.3
Consulta estado de cuenta del contrato:|11987|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 8:43:34|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:|9146|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 8:44:21|Equipo|:192.168.17.4
Imprime estado de cuenta del contrato:|23704|Usuario:|nburgos|Fecha y hora:|08/02/2021 8:44:33|Equipo|:192.168.13.3
Consulta estado de cuenta del contrato:|25147|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 8:50:50|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|27225|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 8:51:20|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:|25148|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 8:52:44|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|21799|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 8:54:26|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:||Usuario:|SMAMANI|Fecha y hora:|08/02/2021 8:57:37|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|25099|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 9:05:05|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|25101|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 9:06:34|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|25099|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 9:06:49|Equipo|:192.168.14.3
Imprime estado de cuenta del contrato:|25099|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 9:07:02|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|24577|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 9:08:22|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|22310|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 9:13:59|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:|25530|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 9:18:39|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|9920091|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 9:20:02|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:||Usuario:|SMAMANI|Fecha y hora:|08/02/2021 9:23:05|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|22897|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 9:29:16|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:|9921411|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 9:38:02|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|24135|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 9:51:14|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|6351|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 9:55:18|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:|21308|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 10:04:26|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:|24708|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 10:05:07|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|24137|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 10:06:39|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|21747|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 10:23:02|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|17449|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 10:26:49|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:|17449|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 10:27:28|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:|17449|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 10:28:15|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:|17449|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 10:29:27|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:|6351|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 10:33:14|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:|25915|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 10:37:03|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|17753|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 10:38:49|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:|12373|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 10:53:39|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:||Usuario:|SMAMANI|Fecha y hora:|08/02/2021 10:57:15|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|12617|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 11:02:44|Equipo|:192.168.17.4
